Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
QP,Livestock Processed,10,Australia,5510,Production,887,"Ghee, butteroil of cow milk",2004,2004,tonnes,715,Im,FAO data based on imputation methodology
QP,Livestock Processed,10,Australia,5510,Production,887,"Ghee, butteroil of cow milk",2005,2005,tonnes,635,Im,FAO data based on imputation methodology
QP,Livestock Processed,10,Australia,5510,Production,887,"Ghee, butteroil of cow milk",2006,2006,tonnes,735,Im,FAO data based on imputation methodology
QP,Livestock Processed,10,Australia,5510,Production,887,"Ghee, butteroil of cow milk",2007,2007,tonnes,540,Im,FAO data based on imputation methodology
QP,Livestock Processed,10,Australia,5510,Production,887,"Ghee, butteroil of cow milk",2008,2008,tonnes,305,Im,FAO data based on imputation methodology
QP,Livestock Processed,10,Australia,5510,Production,887,"Ghee, butteroil of cow milk",2009,2009,tonnes,713,Im,FAO data based on imputation methodology
QP,Livestock Processed,10,Australia,5510,Production,887,"Ghee, butteroil of cow milk",2010,2010,tonnes,500,Im,FAO data based on imputation methodology
QP,Livestock Processed,10,Australia,5510,Production,887,"Ghee, butteroil of cow milk",2011,2011,tonnes,12500,Im,FAO data based on imputation methodology
QP,Livestock Processed,10,Australia,5510,Production,887,"Ghee, butteroil of cow milk",2012,2012,tonnes,9000,Im,FAO data based on imputation methodology
QP,Livestock Processed,10,Australia,5510,Production,887,"Ghee, butteroil of cow milk",2013,2013,tonnes,7500,Im,FAO data based on imputation methodology
QP,Livestock Processed,10,Australia,5510,Production,887,"Ghee, butteroil of cow milk",2014,2014,tonnes,9000,Im,FAO data based on imputation methodology
QP,Livestock Processed,10,Australia,5510,Production,1043,Lard,1999,1999,tonnes,3000,F,FAO estimate
QP,Livestock Processed,10,Australia,5510,Production,1043,Lard,2000,2000,tonnes,3000,F,FAO estimate
QP,Livestock Processed,10,Australia,5510,Production,1043,Lard,2001,2001,tonnes,3000,F,FAO estimate
QP,Livestock Processed,10,Australia,5510,Production,1043,Lard,2002,2002,tonnes,3000,F,FAO estimate
QP,Livestock Processed,10,Australia,5510,Production,1043,Lard,2003,2003,tonnes,3000,F,FAO estimate
QP,Livestock Processed,10,Australia,5510,Production,1043,Lard,2004,2004,tonnes,3000,F,FAO estimate
QP,Livestock Processed,10,Australia,5510,Production,1043,Lard,2005,2005,tonnes,3000,F,FAO estimate
QP,Livestock Processed,10,Australia,5510,Production,1043,Lard,2006,2006,tonnes,3000,F,FAO estimate
QP,Livestock Processed,10,Australia,5510,Production,1043,Lard,2007,2007,tonnes,3000,F,FAO estimate
QP,Livestock Processed,10,Australia,5510,Production,1043,Lard,2008,2008,tonnes,3000,F,FAO estimate
QP,Livestock Processed,10,Australia,5510,Production,1043,Lard,2009,2009,tonnes,3000,F,FAO estimate
QP,Livestock Processed,10,Australia,5510,Production,1043,Lard,2010,2010,tonnes,3000,F,FAO estimate
QP,Livestock Processed,10,Australia,5510,Production,1043,Lard,2011,2011,tonnes,3000,F,FAO estimate
QP,Livestock Processed,10,Australia,5510,Production,1043,Lard,2012,2012,tonnes,3000,F,FAO estimate
QP,Livestock Processed,10,Australia,5510,Production,1043,Lard,2013,2013,tonnes,3000,F,FAO estimate
QP,Livestock Processed,10,Australia,5510,Production,1043,Lard,2014,2014,tonnes,3000,Im,FAO data based on imputation methodology
