Year,0–4,5–9,10–14,15–19,20–24,25–29,30–34,35–39,40–44,45–49,50–54,55–59,60–64,65–69,70–74,75–79,80–84,85+
2009,0,0,0,0,0,0,0,0,8,19,40,54,61,57,61,43,24,6
2010,0,0,0,0,0,1,1,2,8,22,30,60,73,56,49,45,11,3
2011,0,0,0,0,0,0,2,2,4,8,44,47,69,66,65,41,18,10
2012,0,0,0,0,1,1,1,1,6,15,27,48,81,78,76,39,13,12
2013,0,0,0,0,0,0,0,2,6,20,49,55,60,85,66,39,30,9
2014,0,0,0,0,0,0,0,1,5,20,49,48,69,87,62,42,29,10
2015,0,0,0,0,0,0,0,3,3,15,50,59,80,84,76,42,23,4
