Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,18/09/17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Belgium,BEL,"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.884386003,4.052179975,3.861255201,3.813608525,3.781495499,3.419562337,2.913915194,3.42176631,3.079950319,2.970388022,3.365900401,3.411609444,3.463541928,3.557377495,
Benin,BEN,"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.83765822,12.18763377,10.40711225,11.53421214,15.77787461,14.64844808,16.42293363,15.74959786,15.12983061,15.41720307,13.95297724,12.76604098,15.30080599,14.50113181,9.090270635,9.010892685,12.09413025,9.272286447,7.731560367,5.031508085,7.8673367,
Burkina Faso,BFA,"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.437406613,8.237414581,8.23688935,8.334531979,9.401542329,5.55821908,4.121411734,3.891692621,6.331218488,5.704554124,,
Bangladesh,BGD,"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.564145343,0.715195186,1.121723117,0.886558961,0.801803122,0.693072184,0.702069462,0.856932865,0.744172998,0.833568741,0.732990177,0.612995865,0.567764766,0.337237779,0.55726792,0.480270489,0.359391214,0.380558123,0.414095692,0.465858684,0.425796678,
Bulgaria,BGR,"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.769198985,8.647421758,10.72769904,19.22656313,20.43220055,19.4862686,17.41229815,18.45575246,20.46012158,20.05546654,18.95627838,16.26719104,15.89852061,15.93630647,18.36670725,15.04511757,12.62668188,12.16930488,12.25675483,12.26035923,11.18273932,
Bahrain,BHR,"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.36032944,10.97171072,11.51345517,15.64476244,15.03340351,11.90057716,13.41128142,14.16035296,15.11152812,14.55005814,11.96543166,11.40319984,10.7078738,9.076186897,11.92629975,12.09709951,7.696326947,7.622567731,7.697644295,7.949830523,,
"Bahamas, The",BHS,"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.70984896,76.10045909,75.58663065,71.99746822,72.39286038,71.90260949,74.95610678,71.38086178,71.33673761,69.70318276,68.00572287,65.8041419,64.62398163,61.75233534,66.14324766,67.5530224,64.83031859,63.4761775,63.565971,65.41630145,70.13976909,
Bosnia and Herzegovina,BIH,"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.86453933,19.91561452,15.57168812,17.10633913,18.78971238,18.37624642,17.18517838,15.71550377,14.55372247,18.75179633,17.66545672,16.99543133,12.99455186,12.07228497,12.32455511,12.25910996,11.96726112,12.52721301,
Belarus,BLR,"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.531400049,0.910706021,0.510366826,0.760841998,1.437567386,2.667499078,3.47239953,3.428558146,3.115379314,2.417055599,1.973050187,1.859123847,1.783892088,1.61525463,2.315890795,2.269492896,1.605170928,1.900319932,2.624522943,2.840456413,3.097768753,
Belize,BLZ,"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.23100774,30.72991638,29.28390291,30.92373167,25.28385587,26.19761023,26.09593685,25.25300496,29.08403936,31.81474541,34.79671238,33.50670415,35.40143574,32.08065685,35.15035591,31.82348829,26.27767159,28.80856869,33.23463461,35.08767778,35.98917334,
Bermuda,BMU,"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.59786371,34.88789174,28.96104597,27.00297889,31.21326948,34.00333748,32.00282162,32.13419545,31.0010181,29.74691434,
Bolivia,BOL,"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.456638029,7.616552291,9.124087591,10.10920897,9.461315428,6.870635677,7.825352494,9.194296003,12.39034143,11.04599229,10.52023955,7.587331764,6.579564181,4.300112055,5.635400629,4.958318732,5.469767816,5.147660788,5.010721141,5.257202586,8.108979373,
Brazil,BRA,"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.061131058,1.416980916,1.732062591,2.37888611,3.14865385,3.09024053,2.772215189,3.106911903,3.237252326,3.13840592,3.133712082,2.92828283,2.862353669,2.674775854,3.118029908,2.379556031,2.177408223,2.354766841,2.425987135,2.804253999,2.793590668,
Barbados,BRB,"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.12946758,57.1220009,56.30579955,58.62179594,56.44207124,56.62108407,55.96799825,54.76079045,57.24099864,55.37743527,59.55704223,58.43359628,54.98233712,53.80515661,59.55833102,51.91246474,45.62237809,45.02213403,42.75629235,,,
Brunei Darussalam,BRN,"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.756909706,2.732386152,2.5512787,3.224615105,2.785445685,2.675753382,2.739584663,2.092529591,3.140923818,,,0.688381673,0.778711026,0.67705287,2.0693196,
Bhutan,BTN,"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.897231477,7.381331243,7.19052711,8.880857833,10.83854679,10.19350046,12.75659898,17.37061572,18.20539852,16.8347945,
Botswana,BWA,"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.271036665,4.410816413,4.653433333,7.730452627,7.995001632,7.566965527,8.797895933,11.42135938,12.51571957,13.10825778,10.68330138,10.17545283,9.121246476,1.078482072,15.88318699,14.00099012,11.28413201,11.16222595,9.689929466,9.913635711,12.62480385,
Central African Republic,CAF,"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,CAN,"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.20595165,4.318095297,4.173473415,4.367292082,4.245097571,3.970557531,4.093394216,4.198465851,3.717624384,3.963850336,3.688333502,3.621799326,3.580664661,3.395422277,3.974414367,3.929136536,3.656806575,3.754855881,3.767880892,3.621016128,3.301562535,
Central Europe and the Baltics,CEB,"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.85117756,16.81520777,16.42223407,14.96251103,13.67073041,12.02929523,11.01709593,10.35769974,9.950956942,8.567900362,8.478565497,7.862203308,7.652566734,7.567382405,7.973554446,6.708418148,6.359847284,6.165317025,6.162398134,6.073188715,6.085881166,
Switzerland,CHE,"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.206972711,8.838863668,8.331186813,8.445567536,7.515140053,6.401514217,6.631036299,6.189792703,6.184748266,5.609351034,5.453337437,5.301970643,5.053527194,5.055536823,5.3969054,4.733661319,4.55177233,4.436275265,4.166093208,4.75602565,4.708001686,
Channel Islands,CHI,"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.126697627,5.980789062,6.437822791,7.0580171,5.91024855,5.061573121,5.283315787,5.410951195,4.897461918,4.022778691,3.43505465,2.817466207,2.869161613,3.377081891,3.677374834,2.955262115,2.915749602,3.447269628,3.537087689,3.66405646,4.495988174,
China,CHN,"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.929095757,5.941355328,8.984366661,9.358110976,10.01174241,9.112847893,9.112440788,8.780160369,4.194618398,4.589312251,3.788248077,3.423205156,2.961928502,2.731394077,3.174702164,2.856333831,2.412521638,2.300040629,2.193246536,4.278692319,4.834814797,
Cote d'Ivoire,CIV,"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.091109013,1.116436249,1.198599783,1.13092084,1.329038183,1.691380682,1.362458918,1.315968333,1.471002363,,,
Cameroon,CMR,"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.675939154,6.045663672,4.769620252,4.735612925,4.224494797,4.949883197,6.447680281,4.154816764,8.503730987,5.554101778,5.407122882,4.748030439,4.015167079,2.279779034,5.100547505,3.049342251,5.631740723,5.104727035,7.563266151,7.333530012,7.069709346,
"Congo, Dem. Rep.",COD,"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.116533139,0.098801632,0.010702873,0.009093271,0.478001952,0.12067896,0.111641155,0.076402972,0.070534532,0.359290988,0.000956195,
"Congo, Rep.",COG,"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.067607334,0.63075799,0.567801037,0.605888666,0.791270286,0.471788413,1.027682297,1.043363178,1.05981093,0.636388146,0.805510087,0.710706021,0.881275114,,,,,,,,,
Colombia,COL,"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.229243146,10.3647754,9.253375319,9.074494167,8.830446897,8.307439818,9.845588812,8.682723831,7.569876048,6.967687552,7.65462732,8.19574079,7.488836342,6.81852307,7.907255987,7.500843339,5.948536801,6.412966965,7.071865213,7.632777948,11.54404376,
Comoros,COM,"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.00848762,,,,,,,,25.99307033,37.57744858,42.72984471,45.57199202,42.52607731,50.45217401,41.56951196,40.25945546,42.35125984,43.88775712,,,,
Cabo Verde,CPV,"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.73797307,36.49069747,37.16221247,39.80433362,45.47809229,46.9598239,48.08080711,53.56101433,54.87601021,53.60534877,50.0306177,59.28495207,66.25136102,60.80318702,61.51246345,61.4511674,56.01979532,58.52771556,57.39802337,50.72069226,59.1833438,
Costa Rica,CRI,"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.6551164,19.60465986,19.93738733,19.7613785,20.19548936,22.78200277,20.57706377,19.76889102,20.16094261,20.07283974,20.64786138,18.84008083,20.20207304,20.90272775,18.56838157,17.41248707,18.78779428,18.32638816,20.04995371,18.62734543,20.09686174,
